feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
22862,0,0.442,1.278,534,5495,1.18,127,7002,0.64,51,4134,0.44,95,4784,1.24,188,1882,2.82,85,4941,1.34
12727,0,0.442,1.487,7,193,0.44,2,96,0.74,4,190,0.75,4,149,1.67,8,96,2.35,3,79,2.96
27091,0,0.442,0.843,68,982,0.84,18,1063,0.6,16,926,0.62,7,986,0.44,59,937,1.78,15,1506,0.78
6623,0,0.442,0.693,165,2194,0.92,53,2817,0.66,36,2919,0.44,34,3328,0.64,107,4311,0.7,61,5984,0.8
3949,0,0.442,0.945,50,687,0.89,15,1198,0.44,20,602,1.19,11,845,0.81,37,775,1.35,15,1187,0.99
13491,0,0.442,0.791,61,856,0.87,10,799,0.44,22,1254,0.63,28,1237,1.41,52,1706,0.86,14,2039,0.54
18443,0,0.442,0.825,79,993,0.97,48,1428,1.19,30,1464,0.73,26,2224,0.73,52,3326,0.44,31,2721,0.89
32071,0,0.442,0.786,718,7341,1.19,176,9835,0.63,347,12593,0.99,236,14597,1.01,375,23996,0.44,158,27033,0.46
5331,0,0.442,1.873,12,66,2.22,2,76,0.93,1,51,0.7,5,67,4.65,1,64,0.44,3,102,2.3
8326,0,0.442,0.684,53,826,0.78,22,930,0.84,4,226,0.63,5,342,0.91,1,64,0.44,3,471,0.5
10258,0,0.441,2.078,10,37,3.3,1,80,0.44,2,40,1.79,1,49,1.27,2,32,1.77,3,60,3.9
18262,0,0.441,0.74,280,2824,1.21,95,4087,0.82,103,5131,0.72,74,6524,0.71,207,13255,0.44,71,10181,0.54
25890,0,0.441,0.682,409,5324,0.94,173,6893,0.89,78,5170,0.54,81,7104,0.71,122,7820,0.44,88,11915,0.58
28778,0,0.441,0.583,305,4422,0.84,114,5900,0.68,88,7018,0.45,90,8844,0.63,264,16926,0.44,88,15175,0.45
2626,0,0.44,0.857,389,2870,1.65,135,4448,1.07,129,5408,0.86,74,7004,0.66,232,14895,0.44,67,11269,0.46
11766,0,0.44,2.096,778,8255,1.15,555,9956,1.97,26,2118,0.44,42,4751,0.55,43,155,7.84,3,374,0.63
5471,0,0.44,1.007,93,843,1.35,13,1043,0.44,67,1593,1.51,22,1379,0.99,38,866,1.24,7,1056,0.52
20816,0,0.44,1.565,32,181,2.16,19,254,2.64,4,326,0.44,9,405,1.38,18,544,0.94,16,682,1.83
10806,0,0.44,1.015,13,102,1.55,3,122,0.87,2,151,0.47,3,161,1.16,7,124,1.6,2,355,0.44
4999,0,0.439,1.127,16,444,0.44,14,659,0.75,3,192,0.56,3,239,0.78,4,49,2.31,11,446,1.93
31722,0,0.439,0.681,34,493,0.84,27,754,1.26,9,654,0.49,8,992,0.5,18,1158,0.44,9,1281,0.55
8377,0,0.439,0.75,353,3251,1.32,82,5125,0.56,56,4215,0.48,94,5566,1.05,84,5405,0.44,86,10464,0.64
1679,0,0.439,0.938,361,3302,1.33,161,4113,1.38,184,5623,1.17,92,8749,0.65,284,18281,0.44,94,11359,0.65
10964,0,0.439,1.225,9,99,1.11,11,151,2.57,2,137,0.52,4,231,1.08,8,515,0.44,7,336,1.63
24293,0,0.439,1.338,66,628,1.28,9,724,0.44,14,648,0.77,15,741,1.26,42,492,2.41,20,839,1.86
18293,0,0.439,0.683,127,1069,1.45,23,1695,0.48,54,2456,0.79,28,3879,0.45,109,6213,0.5,27,4803,0.44
14114,0,0.438,0.678,332,3843,1.05,137,5738,0.84,119,6292,0.68,81,8314,0.61,201,12745,0.45,64,11403,0.44
15602,0,0.438,2.375,37,157,2.87,6,257,0.82,25,165,5.43,6,331,1.13,4,258,0.44,51,1121,3.55
23027,0,0.438,0.713,262,3939,0.81,77,3448,0.79,48,3262,0.53,27,3839,0.44,148,5469,0.76,63,5196,0.95
27593,0,0.437,0.746,667,5977,1.36,249,8459,1.04,149,9945,0.54,124,12957,0.6,383,21325,0.51,114,20346,0.44
30388,0,0.437,6.222,11,48,2.79,3,77,1.38,6,74,2.91,31,214,9.02,5,323,0.44,57,214,20.8
850,0,0.437,0.647,195,2655,0.9,81,3115,0.92,41,3361,0.44,39,4334,0.56,119,5731,0.59,40,6458,0.48
2354,0,0.437,4.681,65,301,2.63,9,214,1.48,1,82,0.44,17,124,8.54,4,21,5.38,8,65,9.61
9786,0,0.437,1.033,6,103,0.71,10,143,2.47,2,164,0.44,5,220,1.42,7,336,0.59,3,405,0.58
12204,0,0.437,0.747,40,477,1.02,25,727,1.21,16,1038,0.55,15,1248,0.75,45,2503,0.51,12,2144,0.44
5413,0,0.437,0.834,115,800,1.75,30,1203,0.88,34,1705,0.71,24,2304,0.65,76,4916,0.44,26,3572,0.57
21916,0,0.436,1.271,90,546,2.01,35,828,1.49,55,1221,1.61,27,1897,0.89,63,4079,0.44,38,2507,1.18
14404,0,0.436,0.819,46,931,0.6,28,1219,0.81,10,610,0.59,5,714,0.44,25,396,1.78,10,1127,0.69
24332,0,0.436,1.148,172,1908,1.1,34,2754,0.44,42,2766,0.54,96,3041,1.97,146,1933,2.13,51,5618,0.71
10000,0,0.436,1.005,259,1853,1.7,97,3055,1.12,113,3085,1.31,59,4773,0.77,120,7781,0.44,52,5901,0.69
20621,0,0.436,1.426,196,3517,0.68,57,4177,0.48,18,1481,0.44,99,1986,3.1,122,1281,2.69,58,3904,1.16
13335,0,0.436,1.108,37,632,0.71,24,790,1.07,13,339,1.37,3,429,0.44,11,242,1.28,13,574,1.77
17880,0,0.434,0.884,53,783,0.83,22,1120,0.69,7,578,0.43,6,711,0.53,16,305,1.48,15,871,1.34
7291,0,0.434,1.316,80,1034,0.94,47,1443,1.15,12,991,0.43,19,1227,0.96,51,519,2.78,40,1919,1.63
