feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
11876,5,1000.0,1051.073,46,0,1000.0,37,1,1306.44,14,0,1000.0,2,0,1000.0,36,0,1000.0,41,0,1000.0
9386,1,275.877,714.0,66,0,1000.0,50,6,294.24,29,1,1039.69,33,3,685.12,70,2,989.07,53,15,275.88
18111,0,240.203,4180.033,126,3,512.12,352,3,4142.94,36,4,322.66,315,2,9809.7,17,2,240.2,515,4,10052.58
6349,4,195.092,752.146,16,1,195.09,9,1,317.78,1,0,1000.0,1,0,1000.0,10,0,1000.0,9,0,1000.0
12347,5,141.237,856.873,7,0,1000.0,4,1,141.24,7,0,1000.0,3,0,1000.0,6,0,1000.0,7,0,1000.0
27948,2,71.703,427.658,6,1,73.16,9,0,1000.0,2,1,71.7,3,1,186.85,1,0,1000.0,6,2,234.23
3118,0,48.773,148.876,60,15,48.77,54,22,86.67,56,7,286.81,79,16,307.53,58,17,96.41,67,78,67.07
31095,3,46.174,533.392,14,0,1000.0,17,13,46.17,40,0,1000.0,20,0,1000.0,6,2,84.78,16,18,69.4
20512,0,39.955,138.95,64,4,195.09,43,38,39.96,62,17,130.75,36,17,131.9,52,6,244.91,35,30,91.09
27113,1,39.628,288.502,13,4,39.63,10,3,117.7,7,1,250.96,6,0,1000.0,7,4,49.45,14,4,273.27
30847,0,38.519,187.733,66,2,402.38,60,55,38.52,94,74,45.54,70,15,290.66,66,8,233.14,61,41,116.17
23834,0,35.309,144.122,14,4,42.68,8,8,35.31,7,1,250.96,2,1,124.57,14,4,98.91,8,2,312.31
3407,1,34.701,221.202,6,0,1000.0,12,7,60.53,3,2,53.78,3,2,93.43,3,1,84.78,8,18,34.7
11662,0,31.792,50.152,9,3,36.58,8,6,47.08,9,6,53.78,9,9,62.28,9,8,31.79,8,9,69.4
29833,0,31.354,122.624,18,7,31.35,19,6,111.81,22,7,112.68,41,9,283.74,15,7,60.56,33,19,135.61
91,0,30.483,72.17,5,2,30.48,5,4,44.14,9,2,161.33,5,3,103.81,4,2,56.52,8,17,36.74
16337,0,28.434,175.694,669,154,52.97,435,57,269.46,74,27,98.26,21,46,28.43,778,124,177.3,630,115,427.73
18282,0,24.668,61.488,49,24,24.89,51,73,24.67,68,21,116.09,44,25,109.62,54,51,29.92,40,49,63.74
32266,0,24.652,62.623,46,15,37.39,55,48,40.46,37,10,132.65,34,33,64.17,41,47,24.65,46,47,76.42
25018,0,24.638,327.879,2306,143,196.63,1196,1714,24.64,261,37,252.9,819,139,366.98,1150,59,550.82,1680,228,575.31
25881,0,24.387,76.412,14,7,24.39,17,6,100.04,13,9,51.79,16,7,142.36,12,5,67.82,12,13,72.07
16793,0,22.064,686.703,38,21,22.06,31,13,84.2,27,40,24.2,44,34,80.6,28,2,395.63,45,1,3513.52
11206,0,19.306,44.185,19,12,19.31,20,25,28.25,22,19,41.51,14,33,26.42,17,5,96.08,24,35,53.54
15815,0,18.839,104.016,15,1,182.9,10,2,176.55,8,5,57.36,6,3,124.57,12,18,18.84,9,11,63.88
22548,0,16.028,30.865,82,29,34.48,54,40,47.67,52,58,32.14,38,86,27.52,76,134,16.03,55,157,27.35
17344,0,16.019,34.797,67,51,16.02,93,173,18.98,49,49,35.85,38,42,56.35,80,88,25.69,68,95,55.89
15763,0,15.654,53.699,95,74,15.65,111,159,24.65,72,44,58.67,88,47,116.62,83,129,18.18,94,83,88.43
5149,0,15.571,49.44,11,1,134.13,7,7,35.31,4,7,20.49,2,8,15.57,6,7,24.22,6,7,66.92
19957,0,15.571,41.927,8,1,97.55,5,3,58.85,6,7,30.73,2,8,15.57,6,9,18.84,5,13,30.03
12632,0,15.414,73.992,67,53,15.41,68,82,29.28,33,18,65.73,66,24,171.28,41,17,68.15,47,39,94.09
1407,0,15.057,129.965,20,5,48.77,62,6,364.86,12,6,71.7,28,13,134.15,478,93,145.25,1170,6067,15.06
1847,0,13.58,34.948,25,22,13.86,10,26,13.58,6,9,23.9,15,13,71.87,7,12,16.48,26,29,70.0
10185,0,13.564,27.684,13,11,14.41,11,9,43.16,7,12,20.91,5,8,38.93,12,25,13.56,9,20,35.14
30199,0,13.548,47.169,10,9,13.55,9,8,39.72,8,7,40.97,8,4,124.57,7,6,32.97,8,20,31.23
27966,0,13.543,28.144,41,26,19.23,28,73,13.54,32,70,16.39,29,35,51.61,24,46,14.74,41,60,53.35
15595,0,13.416,33.14,49,17,35.15,57,36,55.91,29,21,49.51,33,94,21.87,47,99,13.42,43,146,23.0
9304,0,13.037,34.292,9,7,15.68,10,6,58.85,8,22,13.04,11,11,62.28,7,5,39.56,9,43,16.34
3359,0,13.009,43.64,15,11,16.63,14,38,13.01,28,13,77.22,46,25,114.6,11,20,15.54,21,66,24.84
18515,0,12.845,127.508,12,1,146.32,9,7,45.4,8,1,286.81,10,3,207.61,10,22,12.85,11,13,66.07
16670,0,12.193,28.648,112,112,12.19,57,111,18.13,95,59,57.73,47,143,20.47,72,141,14.43,89,142,48.94
26070,0,12.111,24.396,12,10,14.63,10,22,16.05,7,15,16.73,7,12,36.33,9,21,12.11,11,17,50.52
1109,0,11.304,17.092,15,16,11.43,11,23,16.89,12,27,15.93,13,24,33.74,14,35,11.3,9,53,13.26
28003,0,10.426,422.226,68,7,118.45,144,4,1271.13,76,5,544.94,206,55,233.28,38,103,10.43,141,31,355.13
21653,0,10.161,48.414,10,12,10.16,7,11,22.47,8,16,17.93,17,6,176.47,6,9,18.84,12,21,44.62
16391,0,10.042,26.608,14,17,10.04,15,22,24.07,13,21,22.19,16,22,45.3,10,14,20.19,16,33,37.86
13051,0,9.38,125.311,510,173,35.95,132,90,51.79,45,172,9.38,70,79,55.19,144,73,55.74,599,86,543.82
21953,0,9.145,33.274,6,8,9.14,7,7,35.31,8,10,28.68,11,13,52.7,4,4,28.26,7,12,45.55
3999,0,9.145,23.781,12,16,9.14,10,12,29.42,16,15,38.24,10,33,18.87,11,27,11.51,15,33,35.49
22517,0,8.924,35.292,19,9,25.74,22,15,51.79,15,13,41.37,11,13,52.7,18,57,8.92,20,50,31.23
4611,0,8.812,62.513,24,5,58.53,34,5,240.1,11,17,23.2,7,29,15.03,29,93,8.81,29,77,29.41
6054,0,8.568,14.178,52,74,8.57,23,55,14.77,39,90,15.54,18,98,11.44,55,114,13.63,23,85,21.13
2723,0,8.54,37.496,479,591,9.88,550,996,19.5,187,785,8.54,68,62,68.31,546,540,28.57,895,775,90.17
3595,0,8.419,26.163,87,126,8.42,56,82,24.11,75,89,30.21,41,92,27.76,75,225,9.42,57,78,57.06
29623,0,8.383,98.245,11,16,8.38,19,21,31.95,11,16,24.65,19,3,394.46,9,7,36.33,12,10,93.69
26746,0,8.366,14.501,69,61,13.79,33,70,16.65,30,88,12.22,9,67,8.37,34,89,10.8,30,93,25.19
24071,0,8.357,37.94,61,89,8.36,51,60,30.01,40,42,34.14,39,37,65.65,52,85,17.29,49,53,72.19
8733,0,8.129,17.049,4,6,8.13,5,8,22.07,4,10,14.34,5,9,34.6,4,13,8.7,5,27,14.46
3176,0,8.114,12.537,48,61,9.59,46,154,10.55,14,55,9.13,26,68,23.81,29,101,8.11,30,167,14.03
5557,0,8.074,24.28,11,8,16.77,7,7,35.31,6,17,12.65,7,10,43.6,8,28,8.07,9,24,29.28
1359,1,8.074,183.219,6,0,1000.0,4,5,28.25,2,4,17.93,3,7,26.69,2,7,8.07,4,17,18.37
12387,0,8.074,28.899,10,6,20.32,13,12,38.25,5,8,22.41,8,11,45.3,8,28,8.07,9,18,39.04
28258,0,7.998,20.415,31,31,12.19,19,29,23.13,16,18,31.87,18,58,19.33,15,53,8.0,24,67,27.97
6489,0,7.998,21.214,76,113,8.2,70,91,27.16,61,100,21.87,68,121,35.0,60,212,8.0,79,228,27.05
19166,0,7.846,20.638,44,46,11.66,18,81,7.85,24,37,23.25,13,26,31.14,27,33,23.12,23,67,26.8
32368,0,7.846,33.432,10,12,10.16,2,9,7.85,11,13,30.34,16,11,90.59,9,18,14.13,14,23,47.53
5099,0,7.808,21.814,16,9,21.68,7,14,17.65,26,23,40.53,6,19,19.67,15,18,23.55,4,40,7.81
18666,0,7.804,13.974,32,50,7.8,20,56,12.61,27,57,16.98,16,72,13.84,28,74,10.69,16,57,21.92
16942,0,7.785,25.087,4,1,48.77,1,1,35.31,2,2,35.85,1,8,7.79,2,4,14.13,1,9,8.68
21355,0,7.707,50.325,18,11,19.95,26,8,114.75,13,17,27.42,15,32,29.2,12,44,7.71,29,22,102.92
18294,0,7.627,26.197,86,62,16.91,8,26,10.86,23,37,22.29,6,49,7.63,49,135,10.26,32,28,89.23
26721,0,7.548,22.299,52,84,7.55,23,38,21.37,39,69,20.26,30,69,27.08,33,71,13.13,29,51,44.4
10356,0,7.437,33.332,12,9,16.26,10,6,58.85,12,8,53.78,9,18,31.14,5,19,7.44,10,24,32.53
11184,0,7.316,12.556,6,10,7.32,3,11,9.63,5,12,14.94,3,17,10.99,4,13,8.7,7,23,23.76
7413,0,7.24,22.956,19,32,7.24,20,64,11.03,29,46,22.6,32,50,39.86,18,19,26.77,24,62,30.22
23015,0,7.17,29.876,7,1,85.35,2,8,8.83,1,5,7.17,1,7,8.9,3,5,16.96,4,6,52.05
9391,0,7.062,15.225,5,7,8.71,3,15,7.06,5,10,17.93,3,7,26.69,3,7,12.11,7,29,18.85
14458,0,6.968,18.236,12,21,6.97,14,43,11.5,14,35,14.34,12,33,22.65,15,19,22.31,15,37,31.65
22102,0,6.93,15.112,694,947,8.94,104,521,7.05,173,895,6.93,126,353,22.23,444,940,13.35,265,643,32.18
12956,0,6.924,18.278,65,59,13.43,88,101,30.76,68,164,14.87,56,141,24.74,86,351,6.92,74,305,18.94
8653,0,6.792,10.881,83,149,6.79,41,120,12.06,32,113,10.15,10,76,8.2,45,161,7.9,38,147,20.18
16926,0,6.774,12.51,5,9,6.77,5,8,22.07,2,9,7.97,2,8,15.57,2,8,7.06,5,25,15.62
31151,0,6.756,18.793,41,74,6.76,12,31,13.67,50,88,20.37,25,61,25.53,44,85,14.63,22,54,31.81
21023,0,6.728,15.526,20,13,18.76,11,36,10.79,10,40,8.96,10,30,20.76,10,42,6.73,16,46,27.16
28282,0,6.706,13.243,11,20,6.71,12,32,13.24,7,16,15.68,9,73,7.68,5,9,15.7,11,42,20.45
5050,0,6.704,34.573,173,53,39.8,124,50,87.57,77,67,41.2,44,323,8.48,93,392,6.7,165,544,23.68
21119,0,6.566,14.245,7,13,6.57,10,47,7.51,9,18,17.93,6,23,16.25,7,20,9.89,7,20,27.33
10799,0,6.556,17.018,32,34,11.48,33,64,18.21,14,16,31.37,2,19,6.56,20,28,20.19,11,60,14.31
8392,0,6.498,10.048,196,315,7.59,53,288,6.5,60,313,6.87,69,414,10.38,106,441,6.79,84,296,22.16
29219,0,6.4,12.013,185,306,7.37,172,949,6.4,224,979,8.2,190,797,14.85,215,299,20.32,172,899,14.94
20363,0,6.389,51.922,30,4,91.45,43,23,66.01,21,8,94.11,13,25,32.39,26,115,6.39,35,129,21.18
17858,0,6.3,18.529,31,60,6.3,31,108,10.14,38,93,14.65,36,95,23.6,35,32,30.91,38,116,25.58
2782,0,6.221,18.152,25,49,6.22,12,47,9.02,26,29,32.14,12,60,12.46,27,76,10.04,18,36,39.04
24750,0,6.153,11.437,23,29,9.67,19,35,19.17,18,40,16.13,11,93,7.37,27,124,6.15,17,131,10.13
27114,0,6.143,18.367,15,13,14.07,4,15,9.42,7,11,22.81,9,13,43.12,10,46,6.14,6,32,14.64
32222,0,6.138,26.562,86,59,17.77,115,86,47.22,54,66,29.33,65,185,21.88,96,442,6.14,92,194,37.03
10599,0,6.097,14.572,5,10,6.1,6,10,21.19,3,10,10.76,4,9,27.68,4,10,11.3,4,30,10.41
31020,0,6.095,29.504,23,14,20.03,17,12,50.02,20,22,32.59,15,27,34.6,11,51,6.1,22,51,33.68
10709,0,5.975,9.463,7,14,6.1,3,13,8.15,3,18,5.98,3,19,9.83,6,12,14.13,5,31,12.59
22073,0,5.949,11.492,8,12,8.13,12,52,8.15,14,25,20.08,7,30,14.53,8,38,5.95,9,58,12.12
29890,0,5.915,14.312,33,44,9.14,38,69,19.45,18,59,10.94,22,77,17.8,18,86,5.91,40,138,22.63
6912,0,5.873,8.843,250,506,6.02,126,526,8.46,99,554,6.41,81,859,5.87,168,704,6.74,142,567,19.55
880,0,5.738,12.639,236,258,11.15,72,194,13.1,74,353,7.52,48,521,5.74,188,516,10.3,84,234,28.03
31910,0,5.69,20.269,49,105,5.69,25,36,24.52,44,76,20.76,22,66,20.76,36,82,12.41,24,50,37.48
6610,0,5.652,11.275,2,3,8.13,1,3,11.77,4,6,23.9,1,8,7.79,1,5,5.65,2,15,10.41
9660,0,5.628,11.971,6,13,5.63,4,14,10.09,2,7,10.24,5,12,25.95,1,2,14.13,2,27,5.78
18786,0,5.585,20.015,58,58,12.19,74,73,35.79,61,118,18.53,45,118,23.75,67,339,5.59,54,174,24.23
10558,3,5.516,544.808,1,0,1000.0,1,0,1000.0,2,13,5.52,4,1,249.14,1,0,1000.0,2,11,14.2
6202,0,5.496,13.792,32,71,5.5,18,50,12.71,17,63,9.67,22,81,16.92,35,55,17.98,11,43,19.97
25229,0,5.411,11.348,17,24,8.64,10,28,12.61,12,45,9.56,9,56,10.01,9,47,5.41,14,50,21.86
23880,0,5.393,18.647,23,52,5.39,22,94,8.26,22,34,23.2,18,57,19.67,16,19,23.8,19,47,31.56
1522,0,5.364,10.077,255,565,5.5,109,430,8.95,106,556,6.83,67,778,5.36,143,752,5.37,185,508,28.43
5962,0,5.308,9.478,138,317,5.31,81,323,8.85,46,260,6.34,36,412,5.44,97,452,6.06,78,245,24.86
17598,0,5.299,16.864,6,8,9.14,7,8,30.9,3,15,7.17,4,10,24.91,3,16,5.3,7,23,23.76
11505,0,5.28,11.383,42,97,5.28,27,84,11.35,24,101,8.52,27,96,17.52,34,84,11.44,28,154,14.2
32517,0,5.272,34.081,15,8,22.86,16,10,56.49,5,34,5.27,18,44,25.48,11,7,44.41,16,25,49.97
26427,0,5.206,11.729,221,483,5.58,107,498,7.59,157,530,10.62,64,611,6.52,119,646,5.21,196,439,34.86
9329,0,5.19,17.724,12,17,8.61,15,15,35.31,6,34,6.33,10,22,28.31,9,49,5.19,11,38,22.6
23744,0,5.182,35.083,17,40,5.18,18,83,7.66,7,6,41.83,11,9,76.12,9,7,36.33,10,18,43.38
17067,0,5.146,16.399,46,109,5.15,54,77,24.76,19,77,8.85,23,93,15.4,27,122,6.25,54,111,37.98
16557,0,5.081,9.306,10,24,5.08,8,25,11.3,8,27,10.62,5,30,10.38,5,20,7.06,7,48,11.39
23696,0,5.025,8.73,75,182,5.02,48,224,7.57,57,202,10.12,48,278,10.75,65,269,6.83,46,297,12.09
27416,0,5.015,12.748,204,496,5.01,175,775,7.97,216,803,9.64,200,1010,12.33,210,351,16.91,227,720,24.62
8080,0,5.008,19.251,23,56,5.01,13,76,6.04,31,46,24.16,20,32,38.93,19,21,25.57,17,84,15.8
26024,0,4.984,11.659,14,14,12.19,5,21,8.41,16,19,30.19,6,46,8.12,6,28,6.06,3,47,4.98
24059,0,4.983,8.001,226,553,4.98,67,427,5.54,114,656,6.23,104,786,8.24,173,882,5.54,134,599,17.47
26541,0,4.977,9.069,20,49,4.98,16,112,5.04,17,71,8.58,11,57,12.02,18,50,10.17,15,86,13.62
11124,0,4.954,9.002,13,32,4.95,5,28,6.31,10,44,8.15,9,41,13.67,14,58,6.82,15,83,14.11
4208,0,4.954,24.611,13,32,4.95,11,29,13.39,15,17,31.63,11,27,25.37,18,23,22.12,18,28,50.19
21033,0,4.945,17.151,59,60,11.99,79,87,32.06,53,93,20.43,39,174,13.96,77,440,4.95,72,288,19.52
8404,0,4.927,35.753,12,4,36.58,6,43,4.93,14,12,41.83,15,10,93.43,6,20,8.48,9,24,29.28
10005,0,4.877,10.388,140,350,4.88,62,259,8.45,68,303,8.05,51,283,11.22,79,207,10.78,74,305,18.94
32495,0,4.877,12.393,16,40,4.88,14,23,21.49,15,67,8.03,10,41,15.19,16,58,7.8,15,69,16.97
25378,0,4.877,12.104,2,5,4.88,1,5,7.06,1,5,7.17,2,5,24.91,2,3,18.84,2,16,9.76
28870,0,4.825,18.388,11,11,12.19,12,13,32.59,5,11,16.3,5,15,20.76,7,41,4.82,10,33,23.66
19915,0,4.813,12.433,81,111,8.9,70,125,19.77,57,157,13.02,44,189,14.5,78,458,4.81,70,402,13.6
1055,0,4.789,7.327,370,942,4.79,97,659,5.2,89,611,5.22,82,790,6.46,208,1194,4.92,143,643,17.36
31534,0,4.772,5.821,24,60,4.88,15,111,4.77,20,114,6.29,12,110,6.79,19,107,5.02,17,185,7.17
26733,0,4.772,25.385,76,111,8.35,15,111,4.77,41,34,43.23,23,35,40.93,47,47,28.26,24,70,26.77
23470,0,4.753,9.676,115,295,4.75,139,626,7.84,73,428,6.11,111,377,18.34,107,339,8.92,109,704,12.09
22254,0,4.748,23.309,44,113,4.75,36,124,10.25,58,127,16.37,66,144,28.55,35,44,22.48,78,106,57.45
30610,0,4.746,40.905,24,21,13.94,57,22,91.48,37,27,49.13,41,58,44.03,22,131,4.75,48,89,42.11
24955,0,4.718,8.208,26,28,11.32,25,115,7.68,9,36,8.96,5,66,4.72,16,92,4.91,20,134,11.65
7254,0,4.69,9.838,15,39,4.69,10,56,6.31,11,43,9.17,14,59,14.78,11,39,7.97,13,63,16.11
3443,0,4.69,22.408,5,13,4.69,5,12,14.71,3,7,15.36,5,6,51.9,3,3,28.26,2,8,19.52
32062,0,4.55,13.618,36,44,9.98,32,47,24.04,29,76,13.68,27,98,17.16,38,236,4.55,26,165,12.3
27129,0,4.489,16.508,253,566,5.45,201,740,9.59,74,591,4.49,88,365,15.02,297,271,30.97,289,673,33.53
5042,0,4.48,40.149,29,36,9.82,24,27,31.39,31,25,44.46,59,31,118.54,13,82,4.48,33,80,32.21
7246,0,4.465,10.536,26,71,4.47,18,113,5.62,19,76,8.96,12,52,14.37,22,47,13.23,21,99,16.56
2786,0,4.458,11.838,42,48,10.67,67,109,21.7,45,103,15.66,20,112,11.12,53,336,4.46,30,316,7.41
32012,0,4.449,5.416,3,7,5.23,5,28,6.31,3,19,5.66,1,14,4.45,6,30,5.65,3,45,5.21
15311,0,4.434,41.567,4,11,4.43,15,9,58.85,14,10,50.19,17,12,88.24,4,9,12.56,9,20,35.14
21525,0,4.429,13.277,89,118,9.2,78,172,16.01,68,164,14.87,74,230,20.04,84,536,4.43,79,408,15.12
21971,0,4.336,16.194,117,329,4.34,60,141,15.03,43,283,5.45,29,287,6.29,137,325,11.91,86,124,54.15
28247,0,4.306,10.208,415,733,6.9,231,792,10.3,131,677,6.94,71,1027,4.31,232,1074,6.1,225,658,26.7
31742,0,4.302,193.621,55,12,55.89,65,53,43.3,3,25,4.3,48,5,597.92,8,1,226.07,66,22,234.23
15779,0,4.291,15.753,126,358,4.29,157,330,16.8,103,293,12.6,79,284,17.33,147,402,10.33,127,299,33.16
29731,0,4.253,14.458,15,43,4.25,14,42,11.77,15,45,11.95,14,45,19.38,13,23,15.97,12,40,23.42
28174,0,4.239,40.165,8,1,97.55,6,3,70.62,3,6,17.93,3,6,31.14,3,20,4.24,6,24,19.52
425,0,4.229,8.31,41,109,4.59,46,134,12.12,24,85,10.12,19,171,6.92,41,274,4.23,35,230,11.88
22639,0,4.222,9.306,107,309,4.22,97,683,5.01,109,519,7.53,107,460,14.49,108,305,10.01,98,525,14.57
1839,0,4.218,16.149,8,7,13.94,7,8,30.9,2,17,4.22,5,12,25.95,6,25,6.78,6,31,15.11
13987,0,4.187,10.242,7,15,5.69,7,20,12.36,7,16,15.68,3,14,13.35,8,54,4.19,6,46,10.18
7092,0,4.187,14.809,4,4,12.19,8,6,47.08,3,16,6.72,1,11,5.66,4,27,4.19,4,24,13.01
24074,0,4.181,10.09,12,35,4.18,14,64,7.72,15,63,8.54,14,69,12.64,17,30,16.01,11,75,11.45
627,0,4.177,14.072,58,66,10.72,59,148,14.08,48,121,14.22,56,189,18.45,51,345,4.18,61,209,22.79
28546,0,4.121,8.368,103,175,7.18,62,246,8.9,63,193,11.7,51,388,8.19,63,432,4.12,63,486,10.12
30296,0,4.105,7.369,227,405,6.83,65,397,5.78,45,368,4.38,29,440,4.11,101,620,4.6,82,346,18.5
12313,0,4.064,7.269,4,12,4.06,3,13,8.15,3,13,8.27,2,17,7.33,3,10,8.48,3,32,7.32
15842,0,4.064,10.719,4,12,4.06,7,19,13.01,2,8,8.96,4,13,19.16,2,5,11.3,1,10,7.81
3436,0,4.064,11.504,5,15,4.06,7,14,17.65,2,11,6.52,2,9,13.84,2,10,5.65,6,22,21.29
16900,0,4.037,15.603,7,10,8.54,5,12,14.71,8,11,26.07,5,14,22.24,8,56,4.04,9,39,18.02
30450,0,4.037,6.935,6,15,4.88,7,48,5.15,7,33,7.6,4,21,11.86,5,35,4.04,6,58,8.08
626,0,4.029,6.889,75,227,4.03,57,352,5.72,69,328,7.54,51,329,9.65,66,397,4.7,55,443,9.69
32537,0,3.988,6.943,35,107,3.99,18,130,4.89,22,145,5.44,14,126,6.92,28,125,6.33,24,133,14.09
19358,0,3.944,7.684,61,159,4.68,18,68,9.35,22,200,3.94,27,152,11.06,48,298,4.55,38,237,12.52
10071,0,3.909,34.06,42,48,10.67,181,149,42.89,163,187,31.25,125,111,70.14,35,253,3.91,88,151,45.5
3763,0,3.904,7.292,5,11,5.54,3,9,11.77,4,17,8.44,3,31,6.03,4,14,8.07,2,40,3.9
10681,0,3.873,10.967,49,89,6.71,71,183,13.7,81,186,15.61,52,291,11.13,71,518,3.87,49,259,14.77
26966,0,3.873,6.946,27,74,4.45,22,161,4.82,32,180,6.37,37,187,12.32,37,270,3.87,34,270,9.83
22326,0,3.854,22.268,21,20,12.8,27,26,36.67,20,21,34.14,25,69,22.57,18,132,3.85,32,106,23.57
17474,0,3.854,5.689,6,18,4.06,6,33,6.42,4,25,5.74,3,29,6.44,3,22,3.85,4,41,7.62
11719,0,3.841,25.066,27,23,14.31,14,15,32.96,33,19,62.27,15,56,16.68,14,103,3.84,25,96,20.33
16528,0,3.837,19.293,73,232,3.84,210,1012,7.33,55,355,5.55,204,279,45.54,17,36,13.34,665,1293,40.16
14326,0,3.832,11.033,11,35,3.83,11,55,7.06,13,42,11.1,13,46,17.6,7,18,10.99,12,60,15.62
29987,0,3.81,5.612,10,32,3.81,5,30,5.88,4,19,7.55,4,39,6.39,9,44,5.78,6,110,4.26
10284,0,3.802,6.77,207,623,4.05,108,882,4.32,103,685,5.39,64,951,4.19,113,840,3.8,129,534,18.86
31889,0,3.79,6.4,23,74,3.79,18,79,8.05,29,130,8.0,16,144,6.92,25,98,7.21,17,299,4.44
9105,0,3.718,15.852,15,18,10.16,20,27,26.15,11,15,26.29,6,31,12.05,5,38,3.72,12,56,16.73
4771,0,3.718,5.941,5,14,4.35,3,12,8.83,3,12,8.96,2,22,5.66,7,48,4.12,2,42,3.72
14172,0,3.702,5.345,17,56,3.7,11,70,5.55,9,57,5.66,6,51,7.33,11,72,4.32,6,85,5.51
29379,0,3.697,194.875,197,12,200.17,220,43,180.65,315,15,752.88,13,219,3.7,285,337,23.9,56,550,7.95
14170,0,3.686,8.379,4,5,9.75,8,19,14.87,3,13,8.27,3,26,7.19,3,23,3.69,3,36,6.51
16620,0,3.673,10.56,25,83,3.67,20,69,10.23,16,74,7.75,17,74,14.31,23,121,5.37,22,78,22.02
4429,0,3.67,21.844,93,85,13.34,118,99,42.09,75,91,29.55,60,198,18.87,90,693,3.67,95,315,23.55
30484,0,3.662,9.136,82,273,3.66,62,453,4.83,63,251,9.0,57,263,13.5,66,196,9.52,59,322,14.31
24107,0,3.658,8.467,3,10,3.66,3,15,7.06,4,9,15.93,2,21,5.93,4,16,7.06,3,21,11.15
13015,0,3.586,6.905,30,102,3.59,20,177,3.99,21,129,5.84,21,142,9.21,21,95,6.25,23,143,12.56
15019,0,3.565,11.689,82,104,9.61,67,161,14.69,75,195,13.79,52,209,15.5,68,539,3.57,62,373,12.98
9466,0,3.532,5.556,5,11,5.54,6,34,6.23,3,24,4.48,2,21,5.93,5,40,3.53,4,41,7.62
4214,0,3.531,13.226,3,8,4.57,2,20,3.53,5,12,14.94,3,6,31.14,3,15,5.65,2,8,19.52
30629,0,3.512,5.447,156,475,4.0,51,494,3.65,69,597,4.14,95,684,8.65,109,877,3.51,81,725,8.72
22050,0,3.506,7.175,449,1152,4.75,216,1193,6.39,174,1216,5.13,98,1741,3.51,238,1510,4.45,254,1054,18.82
10805,0,3.499,20.994,60,22,33.25,10,61,5.79,38,36,37.84,10,178,3.5,32,26,34.78,13,94,10.8
9808,0,3.498,9.005,14,31,5.51,8,31,9.11,4,41,3.5,5,24,12.98,9,30,8.48,10,54,14.46
15655,0,3.494,7.896,58,139,5.09,19,192,3.49,39,110,12.71,22,120,11.42,39,182,6.06,15,136,8.61
16979,0,3.488,5.961,246,860,3.49,70,577,4.28,75,582,4.62,64,952,4.19,182,1093,4.71,87,469,14.48
25860,0,3.437,10.392,95,337,3.44,87,259,11.86,69,350,7.07,72,498,9.0,46,350,3.71,139,398,27.27
32717,0,3.43,25.11,27,61,5.4,17,175,3.43,11,44,8.96,20,26,47.91,8,4,56.52,51,140,28.44
30225,0,3.414,9.043,5,8,7.62,3,5,21.19,2,21,3.41,3,28,6.67,4,32,3.53,5,33,11.83
11442,0,3.391,9.603,2,4,6.1,2,3,23.54,1,3,11.95,2,15,8.3,3,25,3.39,1,18,4.34
29769,0,3.367,23.228,6,5,14.63,6,2,105.93,1,6,5.98,2,37,3.37,6,49,3.46,5,65,6.01
25487,0,3.361,9.684,55,135,4.97,24,113,7.5,40,151,9.5,19,144,8.22,22,185,3.36,56,178,24.56
32179,0,3.355,6.487,253,825,3.74,137,664,7.29,97,834,4.17,60,1114,3.35,169,978,4.88,146,736,15.49
31393,0,3.343,8.867,17,62,3.34,12,86,4.93,15,70,7.68,11,61,11.23,18,37,13.75,11,70,12.27
11810,0,3.305,8.373,29,107,3.3,20,117,6.04,19,77,8.85,11,73,9.39,28,106,7.46,22,113,15.2
11972,0,3.297,10.857,30,80,4.57,18,65,9.78,18,58,11.13,22,57,24.04,14,120,3.3,15,95,12.33
9720,0,3.295,26.828,10,37,3.3,22,157,4.95,2,14,5.12,3,11,16.99,11,7,44.41,53,48,86.21
28758,0,3.286,33.955,5,5,12.19,11,5,77.68,1,4,8.96,11,8,85.64,5,43,3.29,9,44,15.97
21593,0,3.266,8.132,15,56,3.27,13,64,7.17,11,72,5.48,15,68,13.74,17,53,9.06,12,93,10.07
26784,0,3.256,10.489,35,49,8.71,22,62,12.53,24,69,12.47,19,95,12.46,25,217,3.26,27,156,13.51
5315,0,3.255,20.112,51,50,12.44,46,54,30.08,40,51,28.12,37,117,19.7,22,191,3.25,68,196,27.09
22700,0,3.237,5.693,47,138,4.15,42,202,7.34,39,218,6.41,26,235,6.89,48,419,3.24,33,421,6.12
11606,0,3.23,8.732,13,15,10.57,5,27,6.54,7,32,7.84,6,22,16.99,4,35,3.23,5,54,7.23
1050,0,3.229,8.755,134,506,3.23,64,393,5.75,130,368,12.66,60,427,8.75,115,447,7.27,71,373,14.86
31774,0,3.199,8.806,7,16,5.33,8,12,23.54,3,15,7.17,3,40,4.67,6,53,3.2,8,70,8.92
